Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Luzon,"37,374,807,552.77","323,263.60",,99.87,100
Region X,Mindanao,"21,108,791,834.06","124,123.90",,100,29.09
Region VIII,Visayas,"18,757,160,567.23","61,098.65",,100,19.84
Region IX,Mindanao,"4,292,690,070.72","49,945.06",,100,12.21
Region XII,Mindanao,"11,853,038,840.21","19,398.51",,100,6.07
Region II,Luzon,"22,492,433,992.21","10,000.00",,100,3.34
Region IV-B,Luzon,"22,432,789,116.38","2,977.69",,99.69,0.95
Region III,Luzon,"62,517,911,971.79","2,254.21",,100,0.89
Cordillera Administrative Region,Luzon,"14,557,082,197.87","2,463.91",,100,0.87
Region I,Luzon,"24,127,224,108.76","1,887.29",,98.61,0.7
Region IV-A,Luzon,"34,613,010,963.02",738.37,,99.85,0.24
Region VI,Visayas,"19,178,049,284.75",890.36,,100,0.24
Region V,Luzon,"42,471,531,344.45",238.82,,100,0.09
Region XIII,Mindanao,"18,686,741,373.37",202.65,,100,0.05
Region VII,Visayas,"27,449,467,562.05",28.30,,99.79,0.01
Region XI,Mindanao,"17,878,556,404.67",0.42,,100,0